"course_id","student_index","timing","question","value"
82294927,32,"Post","Policy",0
82294927,32,"Post","IDK",1
82294927,33,"Pre","Predict",0
82294927,33,"Pre","Decision",0
82294927,33,"Pre","Understanding",0
82294927,33,"Pre","Manage",0
82294927,33,"Pre","Policy",0
82294927,33,"Pre","IDK",1
82294927,33,"Post","Predict",0
82294927,33,"Post","Decision",0
82294927,33,"Post","Understanding",0
82294927,33,"Post","Manage",0
82294927,33,"Post","Policy",0
82294927,33,"Post","IDK",1
82294927,34,"Pre","Predict",0
82294927,34,"Pre","Decision",1
82294927,34,"Pre","Understanding",0
82294927,34,"Pre","Manage",0
82294927,34,"Pre","Policy",0
82294927,34,"Pre","IDK",0
82294927,34,"Post","Predict",1
82294927,34,"Post","Decision",0
82294927,34,"Post","Understanding",0
82294927,34,"Post","Manage",0
82294927,34,"Post","Policy",0
82294927,34,"Post","IDK",0
82294927,35,"Pre","Predict",1
82294927,35,"Pre","Decision",0
82294927,35,"Pre","Understanding",0
82294927,35,"Pre","Manage",0
82294927,35,"Pre","Policy",0
82294927,35,"Pre","IDK",0
82294927,35,"Post","Predict",0
82294927,35,"Post","Decision",0
82294927,35,"Post","Understanding",0
82294927,35,"Post","Manage",0
82294927,35,"Post","Policy",1
82294927,35,"Post","IDK",0
82294927,36,"Pre","Predict",1
82294927,36,"Pre","Decision",0
82294927,36,"Pre","Understanding",0
82294927,36,"Pre","Manage",0
82294927,36,"Pre","Policy",0
82294927,36,"Pre","IDK",0
82294927,36,"Post","Predict",1
82294927,36,"Post","Decision",1
82294927,36,"Post","Understanding",0
82294927,36,"Post","Manage",0
82294927,36,"Post","Policy",0
82294927,36,"Post","IDK",0
82294927,37,"Pre","Predict",0
82294927,37,"Pre","Decision",0
82294927,37,"Pre","Understanding",0
82294927,37,"Pre","Manage",0
82294927,37,"Pre","Policy",0
82294927,37,"Pre","IDK",1
82294927,37,"Post","Predict",0
82294927,37,"Post","Decision",0
82294927,37,"Post","Understanding",0
82294927,37,"Post","Manage",0
82294927,37,"Post","Policy",0
82294927,37,"Post","IDK",1
82294927,38,"Pre","Predict",0
82294927,38,"Pre","Decision",0
82294927,38,"Pre","Understanding",0
82294927,38,"Pre","Manage",0
82294927,38,"Pre","Policy",0
82294927,38,"Pre","IDK",1
82294927,38,"Post","Predict",0
82294927,38,"Post","Decision",0
82294927,38,"Post","Understanding",0
82294927,38,"Post","Manage",0
82294927,38,"Post","Policy",0
82294927,38,"Post","IDK",1
82294927,39,"Pre","Predict",0
82294927,39,"Pre","Decision",0
82294927,39,"Pre","Understanding",0
82294927,39,"Pre","Manage",1
82294927,39,"Pre","Policy",0
82294927,39,"Pre","IDK",0
82294927,39,"Post","Predict",0
82294927,39,"Post","Decision",0
82294927,39,"Post","Understanding",1
82294927,39,"Post","Manage",1
82294927,39,"Post","Policy",0
82294927,39,"Post","IDK",0
82294927,41,"Pre","Predict",1
82294927,41,"Pre","Decision",0
82294927,41,"Pre","Understanding",0
82294927,41,"Pre","Manage",0
82294927,41,"Pre","Policy",0
82294927,41,"Pre","IDK",0
82294927,41,"Post","Predict",1
82294927,41,"Post","Decision",0
82294927,41,"Post","Understanding",0
82294927,41,"Post","Manage",0
82294927,41,"Post","Policy",0
82294927,41,"Post","IDK",0
82294927,42,"Pre","Predict",0
82294927,42,"Pre","Decision",0
82294927,42,"Pre","Understanding",0
82294927,42,"Pre","Manage",0
82294927,42,"Pre","Policy",0
82294927,42,"Pre","IDK",1
82294927,42,"Post","Predict",0
82294927,42,"Post","Decision",0
82294927,42,"Post","Understanding",0
82294927,42,"Post","Manage",0
82294927,42,"Post","Policy",0
82294927,42,"Post","IDK",0
82294927,43,"Pre","Predict",1
82294927,43,"Pre","Decision",1
82294927,43,"Pre","Understanding",0
82294927,43,"Pre","Manage",0
82294927,43,"Pre","Policy",0
82294927,43,"Pre","IDK",0
82294927,43,"Post","Predict",1
82294927,43,"Post","Decision",1
82294927,43,"Post","Understanding",0
82294927,43,"Post","Manage",0
82294927,43,"Post","Policy",1
82294927,43,"Post","IDK",0
82294927,44,"Pre","Predict",1
82294927,44,"Pre","Decision",1
82294927,44,"Pre","Understanding",0
82294927,44,"Pre","Manage",0
82294927,44,"Pre","Policy",0
82294927,44,"Pre","IDK",0
82294927,44,"Post","Predict",0
82294927,44,"Post","Decision",1
82294927,44,"Post","Understanding",0
82294927,44,"Post","Manage",0
82294927,44,"Post","Policy",0
82294927,44,"Post","IDK",0
82294927,45,"Pre","Predict",1
82294927,45,"Pre","Decision",0
82294927,45,"Pre","Understanding",0
82294927,45,"Pre","Manage",0
82294927,45,"Pre","Policy",0
82294927,45,"Pre","IDK",0
82294927,45,"Post","Predict",0
82294927,45,"Post","Decision",0
82294927,45,"Post","Understanding",0
82294927,45,"Post","Manage",0
82294927,45,"Post","Policy",0
82294927,45,"Post","IDK",1
82294927,46,"Pre","Predict",0
82294927,46,"Pre","Decision",0
82294927,46,"Pre","Understanding",0
82294927,46,"Pre","Manage",0
82294927,46,"Pre","Policy",0
82294927,46,"Pre","IDK",1
82294927,46,"Post","Predict",0
82294927,46,"Post","Decision",1
82294927,46,"Post","Understanding",0
82294927,46,"Post","Manage",0
82294927,46,"Post","Policy",0
82294927,46,"Post","IDK",0
82294927,47,"Pre","Predict",1
82294927,47,"Pre","Decision",1
82294927,47,"Pre","Understanding",0
82294927,47,"Pre","Manage",0
82294927,47,"Pre","Policy",0
82294927,47,"Pre","IDK",0
82294927,47,"Post","Predict",0
82294927,47,"Post","Decision",1
82294927,47,"Post","Understanding",0
82294927,47,"Post","Manage",0
82294927,47,"Post","Policy",0
82294927,47,"Post","IDK",0
82294927,48,"Pre","Predict",0
82294927,48,"Pre","Decision",0
82294927,48,"Pre","Understanding",0
82294927,48,"Pre","Manage",0
82294927,48,"Pre","Policy",0
82294927,48,"Pre","IDK",1
82294927,48,"Post","Predict",0
82294927,48,"Post","Decision",0
82294927,48,"Post","Understanding",0
82294927,48,"Post","Manage",0
82294927,48,"Post","Policy",0
82294927,48,"Post","IDK",1
82294927,49,"Pre","Predict",0
82294927,49,"Pre","Decision",0
82294927,49,"Pre","Understanding",0
82294927,49,"Pre","Manage",1
82294927,49,"Pre","Policy",0
82294927,49,"Pre","IDK",0
82294927,49,"Post","Predict",1
82294927,49,"Post","Decision",0
82294927,49,"Post","Understanding",0
82294927,49,"Post","Manage",1
82294927,49,"Post","Policy",0
82294927,49,"Post","IDK",0
82294927,50,"Pre","Predict",1
82294927,50,"Pre","Decision",1
82294927,50,"Pre","Understanding",0
82294927,50,"Pre","Manage",0
82294927,50,"Pre","Policy",0
82294927,50,"Pre","IDK",0
82294927,50,"Post","Predict",1
82294927,50,"Post","Decision",0
82294927,50,"Post","Understanding",0
82294927,50,"Post","Manage",0
82294927,50,"Post","Policy",0
82294927,50,"Post","IDK",0
82294927,51,"Pre","Predict",1
82294927,51,"Pre","Decision",0
82294927,51,"Pre","Understanding",0
82294927,51,"Pre","Manage",0
82294927,51,"Pre","Policy",0
82294927,51,"Pre","IDK",0
82294927,51,"Post","Predict",1
82294927,51,"Post","Decision",0
82294927,51,"Post","Understanding",0
82294927,51,"Post","Manage",1
82294927,51,"Post","Policy",0
82294927,51,"Post","IDK",0
82294927,52,"Pre","Predict",0
82294927,52,"Pre","Decision",1
82294927,52,"Pre","Understanding",0
82294927,52,"Pre","Manage",0
82294927,52,"Pre","Policy",0
82294927,52,"Pre","IDK",0
82294927,52,"Post","Predict",0
82294927,52,"Post","Decision",1
82294927,52,"Post","Understanding",0
82294927,52,"Post","Manage",0
82294927,52,"Post","Policy",0
82294927,52,"Post","IDK",0
82294927,53,"Pre","Predict",1
82294927,53,"Pre","Decision",0
82294927,53,"Pre","Understanding",0
82294927,53,"Pre","Manage",0
82294927,53,"Pre","Policy",0
82294927,53,"Pre","IDK",0
82294927,53,"Post","Predict",1
82294927,53,"Post","Decision",0
82294927,53,"Post","Understanding",0
82294927,53,"Post","Manage",0
82294927,53,"Post","Policy",0
82294927,53,"Post","IDK",0
82294927,54,"Pre","Predict",0
82294927,54,"Pre","Decision",0
82294927,54,"Pre","Understanding",0
82294927,54,"Pre","Manage",0
82294927,54,"Pre","Policy",0
82294927,54,"Pre","IDK",1
82294927,54,"Post","Predict",1
82294927,54,"Post","Decision",0
82294927,54,"Post","Understanding",0
82294927,54,"Post","Manage",0
